Team,R16 (%),QF (%),SF (%),Final (%),Win (%)
Spain,83.37,65.64999999999999,51.03,40.339999999999996,28.810000000000002
Argentina,58.07,37.330000000000005,27.99,20.169999999999998,11.99
England,82.11,35.120000000000005,24.81,16.009999999999998,8.04
France,41.93,24.03,17.630000000000003,12.0,6.16
Portugal,56.95,45.9,30.48,11.85,5.99
Germany,70.28999999999999,46.800000000000004,28.18,12.61,5.1499999999999995
Netherlands,74.22,22.27,12.83,7.7299999999999995,3.9699999999999998
Colombia,55.43,34.03,12.26,7.41,3.82
Brazil,57.92,37.59,20.7,9.28,3.54
Japan,43.05,32.64,20.93,7.68,3.36
Croatia,80.64,37.44,11.3,6.04,2.7199999999999998
Ecuador,60.78,38.59,14.099999999999998,6.99,2.67
Mexico,59.13,36.18,16.74,5.11,2.1
Switzerland,73.59,33.93,16.04,5.36,1.8599999999999999
Morocco,44.57,24.41,7.32,4.04,1.73
Denmark,66.94,29.220000000000002,14.069999999999999,5.06,1.59
Uruguay,42.08,24.8,12.06,4.3999999999999995,1.53
Senegal,61.82,28.599999999999998,12.04,3.2300000000000004,1.03
Austria,65.53,31.730000000000004,7.68,3.3000000000000003,0.9299999999999999
Australia,40.87,22.07,8.86,2.46,0.74
Iran,39.22,18.35,4.32,1.47,0.4
Italy,16.63,6.4,2.56,1.25,0.37
South Korea,29.709999999999997,13.120000000000001,4.82,1.41,0.33999999999999997
Wales,38.18,13.15,3.9800000000000004,0.98,0.3
United States,25.779999999999998,5.680000000000001,2.03,0.63,0.16
Ivory Coast,33.06,8.39,2.44,0.59,0.13
Poland,34.47,11.33,2.18,0.6,0.13
Serbia,17.89,3.52,1.29,0.41000000000000003,0.12
Hungary,50.68,10.86,3.56,0.5599999999999999,0.1
Peru,49.32,10.6,3.4099999999999997,0.5,0.09
Sweden,26.41,6.15,1.69,0.33999999999999997,0.08
Ukraine,19.36,4.12,0.67,0.19,0.05
